TargetWord,text,PosWordSentence,Item,Cognate_De,Unsure_De,Cognate_Fi,Unsure_Fi
many,the_cookies_were_causing_many_fights_among_the_children.,5,6,,,,
fights,the_cookies_were_causing_many_fights_among_the_children.,6,6,,,,
among,the_cookies_were_causing_many_fights_among_the_children.,7,6,,,,
the,the_cookies_were_causing_many_fights_among_the_children.,8,6,,,,
children.,the_cookies_were_causing_many_fights_among_the_children.,9,6,,,,
the,the_new_teacher_consistently_forgot_to_take_attendance.,1,7,,,,
new,the_new_teacher_consistently_forgot_to_take_attendance.,2,7,x,,,
teacher,the_new_teacher_consistently_forgot_to_take_attendance.,3,7,,,,
consistently,the_new_teacher_consistently_forgot_to_take_attendance.,4,7,x,,,
forgot,the_new_teacher_consistently_forgot_to_take_attendance.,5,7,x,,,
to,the_new_teacher_consistently_forgot_to_take_attendance.,6,7,,,,
take,the_new_teacher_consistently_forgot_to_take_attendance.,7,7,,,,
attendance.,the_new_teacher_consistently_forgot_to_take_attendance.,8,7,,,,
the,the_journalist_tracked_the_development_of_the_story_overnight.,1,8,,,,
journalist,the_journalist_tracked_the_development_of_the_story_overnight.,2,8,x,,,
tracked,the_journalist_tracked_the_development_of_the_story_overnight.,3,8,,,,
the,the_journalist_tracked_the_development_of_the_story_overnight.,4,8,,,,
development,the_journalist_tracked_the_development_of_the_story_overnight.,5,8,,,,
of,the_journalist_tracked_the_development_of_the_story_overnight.,6,8,,,,
the,the_journalist_tracked_the_development_of_the_story_overnight.,7,8,,,,
story,the_journalist_tracked_the_development_of_the_story_overnight.,8,8,x,,,
overnight.,the_journalist_tracked_the_development_of_the_story_overnight.,9,8,x,,,
the,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,1,9,,,,
puppy,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,2,9,,,,
created,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,3,9,x,,,
a,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,4,9,,,,
disastrous,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,5,9,x,,,
scene,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,6,9,x,,x,Is some times used in spoken Finnish
when,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,7,9,x,,,
he,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,8,9,,,,
was,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,9,9,x,,,
home,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,10,9,x,,,
alone.,the_puppy_created_a_disastrous_scene_when_he_was_home_alone.,11,9,x,,,
allen,allen_completed_the_equivalent_course_requirement_in_the_summer.,1,10,,,,
completed,allen_completed_the_equivalent_course_requirement_in_the_summer.,2,10,x,,,
the,allen_completed_the_equivalent_course_requirement_in_the_summer.,3,10,,,,
equivalent,allen_completed_the_equivalent_course_requirement_in_the_summer.,4,10,x,,,
course,allen_completed_the_equivalent_course_requirement_in_the_summer.,5,10,x,,x,"this might be but it is not transparent, i.e., kurssi"
requirement,allen_completed_the_equivalent_course_requirement_in_the_summer.,6,10,,,,
in,allen_completed_the_equivalent_course_requirement_in_the_summer.,7,10,x,,,
the,allen_completed_the_equivalent_course_requirement_in_the_summer.,8,10,,,,
summer.,allen_completed_the_equivalent_course_requirement_in_the_summer.,9,10,x,,,
adam,adam_was_grateful_to_be_given_a_second_chance.,1,11,,,,
was,adam_was_grateful_to_be_given_a_second_chance.,2,11,x,,,
grateful,adam_was_grateful_to_be_given_a_second_chance.,3,11,,,,
to,adam_was_grateful_to_be_given_a_second_chance.,4,11,,,,
be,adam_was_grateful_to_be_given_a_second_chance.,5,11,,,,
given,adam_was_grateful_to_be_given_a_second_chance.,6,11,x,,,
a,adam_was_grateful_to_be_given_a_second_chance.,7,11,,,,
second,adam_was_grateful_to_be_given_a_second_chance.,8,11,,,,
chance.,adam_was_grateful_to_be_given_a_second_chance.,9,11,x,,,
the,the_baby_likes_to_imitate_what_his_brother_does.,1,12,,,,
baby,the_baby_likes_to_imitate_what_his_brother_does.,2,12,x,,,
likes,the_baby_likes_to_imitate_what_his_brother_does.,3,12,,,,
to,the_baby_likes_to_imitate_what_his_brother_does.,4,12,,,,
imitate,the_baby_likes_to_imitate_what_his_brother_does.,5,12,x,,x,
what,the_baby_likes_to_imitate_what_his_brother_does.,6,12,x,,,
his,the_baby_likes_to_imitate_what_his_brother_does.,7,12,,,,
brother,the_baby_likes_to_imitate_what_his_brother_does.,8,12,x,,,
does.,the_baby_likes_to_imitate_what_his_brother_does.,9,12,,,,
mark,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,1,13,,,,
played,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,2,13,,,,
hockey,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,3,13,x,,,
despite,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,4,13,,,,
the,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,5,13,,,,
insistence,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,6,13,x,low frequency,,
from,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,7,13,,x,,
his,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,8,13,,,,
doctor,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,9,13,x,,x,"this might be, i.e., tohtori"
to,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,10,13,,,,
stop.,mark_played_hockey_despite_the_insistence_from_his_doctor_to_stop.,11,13,x,,,
every,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,1,14,,,,
tuesday,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,2,14,,,,
the,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,3,14,,,,
boy,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,4,14,,,,
goes,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,5,14,x,,,
to,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,6,14,,,,
the,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,7,14,,,,
library,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,8,14,,,,
to,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,9,14,,,,
borrow,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,10,14,,,,
books.,every_tuesday_the_boy_goes_to_the_library_to_borrow_books.,11,14,x,,,
she,she_bought_all_of_the_necessary_ingredients_for_dinner.,1,15,x,,,
bought,she_bought_all_of_the_necessary_ingredients_for_dinner.,2,15,,,,
all,she_bought_all_of_the_necessary_ingredients_for_dinner.,3,15,x,,,
of,she_bought_all_of_the_necessary_ingredients_for_dinner.,4,15,,,,
the,she_bought_all_of_the_necessary_ingredients_for_dinner.,5,15,,,,
necessary,she_bought_all_of_the_necessary_ingredients_for_dinner.,6,15,,,,
ingredients,she_bought_all_of_the_necessary_ingredients_for_dinner.,7,15,x,low frequency,,
for,she_bought_all_of_the_necessary_ingredients_for_dinner.,8,15,x,,,
dinner.,she_bought_all_of_the_necessary_ingredients_for_dinner.,9,15,x,,,
it,it_had_not_occurred_to_him_to_buy_food.,1,16,,,,
had,it_had_not_occurred_to_him_to_buy_food.,2,16,x,,,
not,it_had_not_occurred_to_him_to_buy_food.,3,16,x,,,
occurred,it_had_not_occurred_to_him_to_buy_food.,4,16,,,,
to,it_had_not_occurred_to_him_to_buy_food.,5,16,,,,
him,it_had_not_occurred_to_him_to_buy_food.,6,16,,,,
to,it_had_not_occurred_to_him_to_buy_food.,7,16,,,,
buy,it_had_not_occurred_to_him_to_buy_food.,8,16,,,,
food.,it_had_not_occurred_to_him_to_buy_food.,9,16,x,,,
have,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,1,17,x,,,
one,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,2,17,x,,,
friend,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,3,17,x,,,
edit,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,4,17,x,,x,
your,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,5,17,,,,
work,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,6,17,,,,
and,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,7,17,x,,,
preferably,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,8,17,,,x,there is a noun preferenssi
more,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,9,17,x,,,
if,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,10,17,,,,
you,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,11,17,,x,,
have,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,12,17,x,,,
time.,have_one_friend_edit_your_work_and_preferably_more_if_you_have_time.,13,17,,,,
derek,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,1,18,,,,
was,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,2,18,x,,,
upset,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,3,18,,,,
his,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,4,18,,,,
son,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,5,18,x,,,
was,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,6,18,x,,,
quitting,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,7,18,,,,
the,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,8,18,,,,
varsity,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,9,18,,,,
baseball,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,10,18,x,,,
team.,derek_was_upset_his_son_was_quitting_the_varsity_baseball_team.,11,18,x,,,
the,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,1,19,,,,
idea,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,2,19,x,,,
chloe,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,3,19,,,,
proposed,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,4,19,,,,
was,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,5,19,x,,,
ridiculous,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,6,19,,,,
and,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,7,19,x,,,
would,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,8,19,x,,,
not,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,9,19,x,,,
be,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,10,19,,,,
implemented.,the_idea_chloe_proposed_was_ridiculous_and_would_not_be_implemented.,11,19,x,,x,
he,he_worked_very_closely_with_the_sergeant_after_being_promoted.,1,20,,,,
worked,he_worked_very_closely_with_the_sergeant_after_being_promoted.,2,20,,,,
very,he_worked_very_closely_with_the_sergeant_after_being_promoted.,3,20,,,,
closely,he_worked_very_closely_with_the_sergeant_after_being_promoted.,4,20,,,,
with,he_worked_very_closely_with_the_sergeant_after_being_promoted.,5,20,,x,,
the,he_worked_very_closely_with_the_sergeant_after_being_promoted.,6,20,,,,
sergeant,he_worked_very_closely_with_the_sergeant_after_being_promoted.,7,20,,,,
after,he_worked_very_closely_with_the_sergeant_after_being_promoted.,8,20,,,,
being,he_worked_very_closely_with_the_sergeant_after_being_promoted.,9,20,,,,
promoted.,he_worked_very_closely_with_the_sergeant_after_being_promoted.,10,20,x,low frequency,x,there is a word promootio but it has a completely different semantic field
she,she_looked_for_a_new_tenant_to_rent_the_apartment.,1,21,x,,,
looked,she_looked_for_a_new_tenant_to_rent_the_apartment.,2,21,,,,
for,she_looked_for_a_new_tenant_to_rent_the_apartment.,3,21,x,,,
a,she_looked_for_a_new_tenant_to_rent_the_apartment.,4,21,,,,
new,she_looked_for_a_new_tenant_to_rent_the_apartment.,5,21,x,,,
tenant,she_looked_for_a_new_tenant_to_rent_the_apartment.,6,21,,,,
to,she_looked_for_a_new_tenant_to_rent_the_apartment.,7,21,,,,
rent,she_looked_for_a_new_tenant_to_rent_the_apartment.,8,21,,,,
the,she_looked_for_a_new_tenant_to_rent_the_apartment.,9,21,,,,
apartment.,she_looked_for_a_new_tenant_to_rent_the_apartment.,10,21,x,,,
they,they_left_to_escape_the_tyranny_of_the_oppressive_government.,1,22,,,,
left,they_left_to_escape_the_tyranny_of_the_oppressive_government.,2,22,,x,,
to,they_left_to_escape_the_tyranny_of_the_oppressive_government.,3,22,,,,
escape,they_left_to_escape_the_tyranny_of_the_oppressive_government.,4,22,,,,
the,they_left_to_escape_the_tyranny_of_the_oppressive_government.,5,22,,,,
tyranny,they_left_to_escape_the_tyranny_of_the_oppressive_government.,6,22,x,,x,
of,they_left_to_escape_the_tyranny_of_the_oppressive_government.,7,22,,,,
the,they_left_to_escape_the_tyranny_of_the_oppressive_government.,8,22,,,,
oppressive,they_left_to_escape_the_tyranny_of_the_oppressive_government.,9,22,,,x,
government.,they_left_to_escape_the_tyranny_of_the_oppressive_government.,10,22,,,,
their,their_professor_provided_useful_advice_to_the_first_year_students.,1,23,,,,
professor,their_professor_provided_useful_advice_to_the_first_year_students.,2,23,x,,x,
provided,their_professor_provided_useful_advice_to_the_first_year_students.,3,23,,,,
useful,their_professor_provided_useful_advice_to_the_first_year_students.,4,23,,,,
advice,their_professor_provided_useful_advice_to_the_first_year_students.,5,23,,,,
to,their_professor_provided_useful_advice_to_the_first_year_students.,6,23,,,,
the,their_professor_provided_useful_advice_to_the_first_year_students.,7,23,,,,
first,their_professor_provided_useful_advice_to_the_first_year_students.,8,23,,,,
year,their_professor_provided_useful_advice_to_the_first_year_students.,9,23,x,,,
students.,their_professor_provided_useful_advice_to_the_first_year_students.,10,23,x,,,
the,the_pirate_marked_the_map_wherever_he_travelled.,1,24,,,,
pirate,the_pirate_marked_the_map_wherever_he_travelled.,2,24,x,,x,
marked,the_pirate_marked_the_map_wherever_he_travelled.,3,24,x,,,
the,the_pirate_marked_the_map_wherever_he_travelled.,4,24,,,,
map,the_pirate_marked_the_map_wherever_he_travelled.,5,24,,,,
wherever,the_pirate_marked_the_map_wherever_he_travelled.,6,24,,x,,
he,the_pirate_marked_the_map_wherever_he_travelled.,7,24,,,,
travelled.,the_pirate_marked_the_map_wherever_he_travelled.,8,24,,,,
the,the_police_department_had_absolutely_no_contact_with_the_criminal.,1,25,,,,
police,the_police_department_had_absolutely_no_contact_with_the_criminal.,2,25,x,,x,
department,the_police_department_had_absolutely_no_contact_with_the_criminal.,3,25,x,,,
had,the_police_department_had_absolutely_no_contact_with_the_criminal.,4,25,x,,,
absolutely,the_police_department_had_absolutely_no_contact_with_the_criminal.,5,25,x,,x,
no,the_police_department_had_absolutely_no_contact_with_the_criminal.,6,25,,,,
contact,the_police_department_had_absolutely_no_contact_with_the_criminal.,7,25,x,,x,low frequency as there is a proper Finnish word for this
with,the_police_department_had_absolutely_no_contact_with_the_criminal.,8,25,,x,,
the,the_police_department_had_absolutely_no_contact_with_the_criminal.,9,25,,,,
criminal.,the_police_department_had_absolutely_no_contact_with_the_criminal.,10,25,x,,x,low frequency as there is a proper Finnish word for this
she,she_was_upset_she_only_acquired_half_of_his_assets.,1,26,x,,,
was,she_was_upset_she_only_acquired_half_of_his_assets.,2,26,x,,,
upset,she_was_upset_she_only_acquired_half_of_his_assets.,3,26,,,,
she,she_was_upset_she_only_acquired_half_of_his_assets.,4,26,x,,,
only,she_was_upset_she_only_acquired_half_of_his_assets.,5,26,,,,
acquired,she_was_upset_she_only_acquired_half_of_his_assets.,6,26,,,,
half,she_was_upset_she_only_acquired_half_of_his_assets.,7,26,x,,,
of,she_was_upset_she_only_acquired_half_of_his_assets.,8,26,,,,
his,she_was_upset_she_only_acquired_half_of_his_assets.,9,26,,,,
assets.,she_was_upset_she_only_acquired_half_of_his_assets.,10,26,,,,
he,he_often_had_aggressive_behaviour_when_the_team_lost.,1,27,,,,
often,he_often_had_aggressive_behaviour_when_the_team_lost.,2,27,x,,,
had,he_often_had_aggressive_behaviour_when_the_team_lost.,3,27,x,,,
aggressive,he_often_had_aggressive_behaviour_when_the_team_lost.,4,27,x,,x,
behaviour,he_often_had_aggressive_behaviour_when_the_team_lost.,5,27,,,x,low frequency as there is a proper Finnish word for this
when,he_often_had_aggressive_behaviour_when_the_team_lost.,6,27,x,,,
the,he_often_had_aggressive_behaviour_when_the_team_lost.,7,27,,,,
team,he_often_had_aggressive_behaviour_when_the_team_lost.,8,27,x,,x,there is a Finnish word tiimi but it is not used to mean sport team at least officially
lost.,he_often_had_aggressive_behaviour_when_the_team_lost.,9,27,,x,,
they,they_got_the_wrong_amount_of_shirts_in_the_order.,1,28,,x,,
got,they_got_the_wrong_amount_of_shirts_in_the_order.,2,28,,,,
the,they_got_the_wrong_amount_of_shirts_in_the_order.,3,28,,,,
wrong,they_got_the_wrong_amount_of_shirts_in_the_order.,4,28,,,,
amount,they_got_the_wrong_amount_of_shirts_in_the_order.,5,28,,x,,
of,they_got_the_wrong_amount_of_shirts_in_the_order.,6,28,,,,
shirts,they_got_the_wrong_amount_of_shirts_in_the_order.,7,28,x,,,
in,they_got_the_wrong_amount_of_shirts_in_the_order.,8,28,x,,,
the,they_got_the_wrong_amount_of_shirts_in_the_order.,9,28,,,,
order.,they_got_the_wrong_amount_of_shirts_in_the_order.,10,28,,x,,
he,he_was_bothered_by_the_asymmetric_painting_in_the_office.,1,29,,,,
was,he_was_bothered_by_the_asymmetric_painting_in_the_office.,2,29,x,,,
bothered,he_was_bothered_by_the_asymmetric_painting_in_the_office.,3,29,,,,
by,he_was_bothered_by_the_asymmetric_painting_in_the_office.,4,29,x,,,
the,he_was_bothered_by_the_asymmetric_painting_in_the_office.,5,29,,,,
asymmetric,he_was_bothered_by_the_asymmetric_painting_in_the_office.,6,29,x,,x,
painting,he_was_bothered_by_the_asymmetric_painting_in_the_office.,7,29,,,,
in,he_was_bothered_by_the_asymmetric_painting_in_the_office.,8,29,x,,,
the,he_was_bothered_by_the_asymmetric_painting_in_the_office.,9,29,,,,
office.,he_was_bothered_by_the_asymmetric_painting_in_the_office.,10,29,,x,x,this word some times used In spoken Finnish
they,they_were_unsure_whether_he_committed_the_crime_or_not.,1,30,,,,
were,they_were_unsure_whether_he_committed_the_crime_or_not.,2,30,x,,,
unsure,they_were_unsure_whether_he_committed_the_crime_or_not.,3,30,x,,,
whether,they_were_unsure_whether_he_committed_the_crime_or_not.,4,30,,,,
he,they_were_unsure_whether_he_committed_the_crime_or_not.,5,30,,,,
committed,they_were_unsure_whether_he_committed_the_crime_or_not.,6,30,,,,
the,they_were_unsure_whether_he_committed_the_crime_or_not.,7,30,,,,
crime,they_were_unsure_whether_he_committed_the_crime_or_not.,8,30,x,,,
or,they_were_unsure_whether_he_committed_the_crime_or_not.,9,30,x,,,
not.,they_were_unsure_whether_he_committed_the_crime_or_not.,10,30,,,,
she,she_responded_very_coolly_to_his_request_to_meet_up.,1,31,x,,,
responded,she_responded_very_coolly_to_his_request_to_meet_up.,2,31,,,,
very,she_responded_very_coolly_to_his_request_to_meet_up.,3,31,,,,
coolly,she_responded_very_coolly_to_his_request_to_meet_up.,4,31,x,,,
to,she_responded_very_coolly_to_his_request_to_meet_up.,5,31,,,,
his,she_responded_very_coolly_to_his_request_to_meet_up.,6,31,,,,
request,she_responded_very_coolly_to_his_request_to_meet_up.,7,31,,,,
to,she_responded_very_coolly_to_his_request_to_meet_up.,8,31,,,,
meet,she_responded_very_coolly_to_his_request_to_meet_up.,9,31,,,,
up.,she_responded_very_coolly_to_his_request_to_meet_up.,10,31,,,,
the,the_python_had_disappeared_from_the_cage.,1,32,,,,
python,the_python_had_disappeared_from_the_cage.,2,32,x,,x,
had,the_python_had_disappeared_from_the_cage.,3,32,x,,,
disappeared,the_python_had_disappeared_from_the_cage.,4,32,,,,
from,the_python_had_disappeared_from_the_cage.,5,32,x,,,
the,the_python_had_disappeared_from_the_cage.,6,32,,,,
cage.,the_python_had_disappeared_from_the_cage.,7,32,x,,,
she,she_apologized_for_embarrassing_her_daughter_at_school.,1,33,x,,,
apologized,she_apologized_for_embarrassing_her_daughter_at_school.,2,33,,,,
for,she_apologized_for_embarrassing_her_daughter_at_school.,3,33,x,,,
embarrassing,she_apologized_for_embarrassing_her_daughter_at_school.,4,33,,,,
her,she_apologized_for_embarrassing_her_daughter_at_school.,5,33,,,,
daughter,she_apologized_for_embarrassing_her_daughter_at_school.,6,33,,,,
at,she_apologized_for_embarrassing_her_daughter_at_school.,7,33,,,,
school.,she_apologized_for_embarrassing_her_daughter_at_school.,8,33,x,,,
they,they_argued_over_the_existence_of_aliens_for_several_months.,1,34,,x,,
argued,they_argued_over_the_existence_of_aliens_for_several_months.,2,34,x,,,
over,they_argued_over_the_existence_of_aliens_for_several_months.,3,34,,x,,
the,they_argued_over_the_existence_of_aliens_for_several_months.,4,34,,,,
existence,they_argued_over_the_existence_of_aliens_for_several_months.,5,34,x,,x,
of,they_argued_over_the_existence_of_aliens_for_several_months.,6,34,,,,
aliens,they_argued_over_the_existence_of_aliens_for_several_months.,7,34,x,,x,this word some times used In spoken Finnish
for,they_argued_over_the_existence_of_aliens_for_several_months.,8,34,x,,,
several,they_argued_over_the_existence_of_aliens_for_several_months.,9,34,,,,
months.,they_argued_over_the_existence_of_aliens_for_several_months.,10,34,x,,,
the,the_children_continued_to_harass_the_supply_teacher.,1,35,,,,
children,the_children_continued_to_harass_the_supply_teacher.,2,35,,,,
continued,the_children_continued_to_harass_the_supply_teacher.,3,35,x,,,
to,the_children_continued_to_harass_the_supply_teacher.,4,35,,,,
harass,the_children_continued_to_harass_the_supply_teacher.,5,35,,,,
the,the_children_continued_to_harass_the_supply_teacher.,6,35,,,,
supply,the_children_continued_to_harass_the_supply_teacher.,7,35,,,,
teacher.,the_children_continued_to_harass_the_supply_teacher.,8,35,,,,
eric,eric_was_the_most_independent_student_in_the_class.,1,36,,,,
was,eric_was_the_most_independent_student_in_the_class.,2,36,x,,,
the,eric_was_the_most_independent_student_in_the_class.,3,36,,,,
most,eric_was_the_most_independent_student_in_the_class.,4,36,x,,,
independent,eric_was_the_most_independent_student_in_the_class.,5,36,,,,
student,eric_was_the_most_independent_student_in_the_class.,6,36,x,,,
in,eric_was_the_most_independent_student_in_the_class.,7,36,x,,,
the,eric_was_the_most_independent_student_in_the_class.,8,36,,,,
class.,eric_was_the_most_independent_student_in_the_class.,9,36,x,,,
the,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,1,37,,,,
speaker,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,2,37,x,,,
disregarded,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,3,37,,,,
the,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,4,37,,,,
irrelevant,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,5,37,x,,x,
questions,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,6,37,,,,
after,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,7,37,,,,
the,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,8,37,,,,
talk.,the_speaker_disregarded_the_irrelevant_questions_after_the_talk.,9,37,,,,
chris,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,1,38,,,,
walked,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,2,38,,,,
for,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,3,38,x,,,
five,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,4,38,x,,,
minutes,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,5,38,x,,,
to,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,6,38,,,,
reach,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,7,38,x,,,
the,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,8,38,,,,
lot,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,9,38,,,,
he,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,10,38,,,,
had,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,11,38,x,,,
parked,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,12,38,x,,x,
his,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,13,38,,,,
